gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lrrc7,0,97.47854023,0.446,0.102,0
Mdga2,0,31.08036295,0.594,0.25,0
Grm5,0,20.97180947,0.444,0.11,0
Sntg1,0,36.85113425,0.446,0.116,0
Grin2b,0,85.54673659,0.45,0.122,0
Kcnma1,0,5.111852218,0.483,0.156,0
Lrfn5,0,11.31201258,0.444,0.123,0
Frmd4a,0,-6.429708109,0.535,0.215,0
Agbl4,0,28.16295956,0.411,0.097,0
Nkain2,0,-13.61699791,0.519,0.213,0
Kalrn,0,33.07544807,0.404,0.099,0
Dlgap2,0,57.0483702,0.367,0.063,0
Epha5,0,28.22115771,0.397,0.095,0
Lrrtm4,0,64.26234889,0.444,0.149,0
Grid1,0,11.74215454,0.419,0.124,0
Dok6,0,-7.464045951,0.387,0.093,0
Dscam,0,9.321139359,0.425,0.131,0
Pcdh7,0,-54.0606635,0.446,0.153,0
Tenm4,0,1.799138332,0.379,0.092,0
Tanc2,0,10.8834437,0.491,0.204,0
Grm7,0,89.64224668,0.423,0.138,0
Asic2,0,214.302148,0.46,0.177,0
Sgcz,0,308.0773181,0.407,0.124,0
Lingo2,0,149.3808478,0.405,0.123,0
Kcnh7,0,29.70776508,0.354,0.072,0
Frmpd4,0,207.0889799,0.427,0.147,0
Chn2,0,1.569824334,0.442,0.718,0
Grip1,0,231.6149736,0.377,0.105,0
A230006K03Rik,0,20.97828974,0.33,0.059,0
Robo2,0,-12.19889798,0.357,0.086,0
Kctd16,0,91.67331115,0.352,0.083,0
1-Mar,0,46.94163485,0.392,0.124,0
Gria3,0,11.36515468,0.363,0.095,0
Atrnl1,0,28.12276978,0.36,0.093,0
Gabrg3,0,98.88700577,0.331,0.067,0
Gria1,0,6.55454166,0.377,0.113,0
Ccdc88a,0,-13.2437552,0.47,0.209,0
Gabra6,0,-2.825347724,0.237,0.498,0
Plcb1,0,75.80383436,0.547,0.29,0
Snhg11,0,8.273506013,0.534,0.277,0
Kcnq5,0,228.7295836,0.325,0.069,0
Etl4,0,93.11756468,0.349,0.093,0
Pam,0,11.7178576,0.364,0.109,0
Cttnbp2,0,14.94041131,0.398,0.144,0
Tjp1,0,1.728747863,0.487,0.234,0
Ppp2r2b,0,10.88256999,0.476,0.223,0
Cacnb2,0,74.30767558,0.357,0.105,0
Sorbs2,0,28.38853561,0.44,0.19,0
Epha6,0,48.4628002,0.318,0.068,0
Cntn5,0,108.984579,0.329,0.08,0
Prickle2,0,62.81812318,0.388,0.14,0
Prickle1,0,10.44242256,0.383,0.136,0
Prkg1,0,-130.5014816,0.36,0.114,0
Gm26871,0,124.8555406,0.337,0.093,0
Bc1,0,-1.466107169,0.475,0.234,0
Cdk14,0,28.09425479,0.366,0.126,0
Nrg1,0,-38.1428142,0.434,0.194,0
Ahi1,0,61.37670124,0.562,0.323,0
Csrnp3,0,4.558968359,0.381,0.143,0
Pcdh15,0,123.4092739,0.345,0.107,0
Slc35f1,0,21.24283651,0.318,0.081,0
Ppm1e,0,9.15620018,0.385,0.149,0
Tenm3,0,-25.18474364,0.319,0.083,0
Pak3,0,20.80016927,0.302,0.068,0
Dcc,0,13.79427233,0.359,0.126,0
Cntn3,0,10.32129213,0.317,0.087,0
Mgat4c,0,26.68219878,0.331,0.101,0
AC149090.1,0,28.19513464,0.657,0.428,0
Erc2,0,-43.86968242,0.547,0.319,0
Csmd1,0,94.62904142,0.596,0.369,0
Xkr4,0,-2.100283936,0.591,0.368,0
Csmd3,0,23.72546392,0.637,0.415,0
Dmd,0,46.4774255,0.603,0.395,0
Adgrl3,0,-10.75781119,0.714,0.518,0
Nav3,0,11.49195804,0.617,0.427,0
Gria2,0,45.50862839,0.8,0.712,0
Dlg2,0,12.32532742,0.808,0.734,0
Dgkb,3.03E-304,146.2808036,0.359,0.126,9.75E-300
Ptprn2,5.06E-304,21.92201149,0.547,0.334,1.63E-299
Mef2c,2.32E-301,26.75274187,0.331,0.118,7.46E-297
Arhgap32,7.86E-298,-1.154663461,0.337,0.112,2.53E-293
Mir100hg,2.13E-291,23.67719962,0.399,0.155,6.86E-287
Gabrb1,3.27E-290,-6.429860663,0.451,0.208,1.05E-285
Fat3,9.93E-287,17.03527624,0.348,0.122,3.20E-282
Rasal2,9.57E-283,36.63569227,0.453,0.227,3.08E-278
Thrb,1.46E-282,41.07796384,0.334,0.118,4.69E-278
Mir99ahg,1.82E-281,17.5918153,0.575,0.327,5.85E-277
Nrg3,1.27E-280,-300.7394965,0.72,0.622,4.09E-276
Abr,3.40E-280,9.076269809,0.312,0.098,1.09E-275
Lrp1b,4.57E-280,51.27809353,0.73,0.572,1.47E-275
Meg3,1.81E-279,-62.6948147,0.772,0.719,5.83E-275
Robo1,9.99E-277,55.59536171,0.459,0.24,3.21E-272
Kcnq3,1.09E-276,83.82400174,0.434,0.198,3.51E-272
Etv1,3.24E-272,-0.817736791,0.315,0.557,1.04E-267
Nlgn1,4.72E-272,62.81965385,0.791,0.675,1.52E-267
Cadps,8.13E-272,16.66249108,0.593,0.407,2.62E-267
Lhfp,5.48E-269,42.62108312,0.428,0.662,1.76E-264
Prkn,6.74E-266,3.694273117,0.59,0.369,2.17E-261
Sgcd,2.11E-265,-36.71661577,0.3,0.094,6.80E-261
Large1,3.64E-265,24.1291892,0.519,0.308,1.17E-260
Slc24a2,4.41E-259,-30.40840695,0.414,0.172,1.42E-254
Chd7,2.73E-257,2.184751731,0.346,0.581,8.79E-253
Asap1,1.49E-255,7.963130709,0.379,0.162,4.80E-251
Olfm3,5.14E-254,-8.948918241,0.525,0.747,1.66E-249
Tenm2,5.24E-254,-3.544318027,0.622,0.479,1.69E-249
Plxna4,9.01E-254,-3.544135057,0.358,0.145,2.90E-249
Myt1l,9.34E-253,29.29098943,0.548,0.355,3.01E-248
Phactr1,1.54E-252,240.7217676,0.547,0.364,4.97E-248
Hecw1,9.77E-248,2.819568783,0.382,0.171,3.14E-243
Sipa1l1,6.00E-242,12.51048566,0.408,0.207,1.93E-237
Ncam2,1.62E-240,67.13320192,0.532,0.32,5.22E-236
Cdh10,1.80E-240,25.30368345,0.361,0.152,5.79E-236
Klf12,6.01E-238,11.69631407,0.453,0.238,1.93E-233
Mast4,3.10E-236,33.68909225,0.419,0.191,9.98E-232
Celf2,1.50E-234,74.36121418,0.735,0.639,4.81E-230
Rian,1.42E-232,13.21047263,0.593,0.436,4.57E-228
Tnrc6c,6.31E-229,8.069314868,0.537,0.342,2.03E-224
Dgki,6.83E-228,32.31287741,0.521,0.322,2.20E-223
Dclk1,1.04E-224,8.018296117,0.56,0.391,3.35E-220
Aff3,4.76E-223,3.419121727,0.38,0.178,1.53E-218
Mmp16,1.08E-220,87.83944093,0.439,0.246,3.46E-216
Reln,3.11E-220,71.15604465,0.361,0.592,9.99E-216
Astn1,1.29E-219,7.918701033,0.35,0.157,4.15E-215
Edil3,4.63E-219,-13.59958319,0.36,0.149,1.49E-214
B3galt1,1.49E-217,-50.96857709,0.562,0.363,4.81E-213
Klhl29,4.68E-213,2.681098247,0.33,0.144,1.51E-208
Zfp521,1.01E-212,-15.98575585,0.349,0.56,3.24E-208
Trim9,2.52E-212,6.025069903,0.365,0.172,8.10E-208
Alcam,2.31E-209,-28.51273756,0.318,0.134,7.44E-205
Kcnq1ot1,2.08E-200,-29.51282875,0.482,0.292,6.69E-196
B830012L14Rik,2.81E-200,0.763342782,0.398,0.21,9.05E-196
Gm2694,3.06E-200,-1.419332257,0.171,0.35,9.83E-196
Tnr,1.17E-198,-3.47124697,0.385,0.199,3.78E-194
Cmip,1.68E-197,9.052293506,0.313,0.133,5.39E-193
Rbm39,8.13E-196,7.261262213,0.74,0.601,2.62E-191
Kcnb2,5.88E-195,62.81965333,0.416,0.239,1.89E-190
Nlk,1.11E-194,19.53472064,0.377,0.196,3.58E-190
Cacna1b,9.83E-194,3.496881115,0.358,0.178,3.16E-189
Pex5l,1.48E-193,7.997064268,0.321,0.136,4.76E-189
Cit,4.06E-192,55.13034228,0.34,0.163,1.31E-187
Fam155a,5.87E-192,38.29383816,0.769,0.694,1.89E-187
Nebl,4.87E-189,-0.68215615,0.378,0.184,1.57E-184
Fat2,8.29E-188,-0.860638516,0.147,0.315,2.67E-183
Dab1,2.28E-187,37.85148951,0.613,0.484,7.35E-183
R3hdm1,4.48E-185,18.1701408,0.574,0.425,1.44E-180
Ctnna2,6.92E-184,179.6585633,0.75,0.652,2.23E-179
Csmd2,1.63E-182,5.087412986,0.377,0.203,5.23E-178
Cadps2,4.71E-182,75.80293396,0.478,0.68,1.51E-177
Zeb2,2.97E-181,13.69514967,0.333,0.15,9.57E-177
Stau2,1.51E-179,6.958257771,0.413,0.235,4.86E-175
Macrod2,1.86E-178,28.64769677,0.766,0.675,6.00E-174
Hdac9,2.46E-178,-2.101619725,0.408,0.236,7.91E-174
Rsrp1,3.46E-177,0.757637683,0.418,0.239,1.11E-172
Dip2c,3.98E-177,13.691786,0.613,0.457,1.28E-172
Ptprd,1.50E-176,Inf,0.825,0.812,4.81E-172
Spock3,2.70E-176,33.95711763,0.301,0.13,8.68E-172
Gm42418,1.23E-175,-179.5531042,0.735,0.855,3.94E-171
Pbx1,1.79E-174,9.404170152,0.598,0.428,5.75E-170
Apc,2.05E-174,3.372105645,0.611,0.442,6.59E-170
Grm4,3.03E-172,-1.412444201,0.161,0.325,9.74E-168
Fbxl17,2.48E-171,5.078810831,0.616,0.455,7.98E-167
Lncpint,1.10E-170,6.55457143,0.573,0.423,3.52E-166
Arglu1,1.34E-170,3.429600102,0.449,0.268,4.30E-166
Unc13c,2.74E-170,-44.82608876,0.455,0.655,8.80E-166
Srek1,1.61E-169,2.373234256,0.484,0.302,5.18E-165
Slc8a1,8.89E-169,68.58529399,0.575,0.411,2.86E-164
Btg1,1.37E-168,-1.211044983,0.205,0.372,4.40E-164
Ank3,3.61E-167,44.07428848,0.77,0.709,1.16E-162
Ryr3,3.81E-167,-15.57980271,0.304,0.143,1.23E-162
Xist,4.00E-167,3.779752223,0.704,0.559,1.29E-162
Gtdc1,6.98E-165,20.44554612,0.338,0.173,2.25E-160
Zic1,3.44E-164,-1.301574008,0.148,0.304,1.11E-159
Ube3a,3.89E-164,8.491771808,0.643,0.523,1.25E-159
Mycbp2,4.01E-164,8.063079568,0.77,0.655,1.29E-159
Kidins220,1.70E-162,3.883492942,0.406,0.236,5.47E-158
Ube2e2,1.18E-161,16.57041707,0.602,0.436,3.79E-157
Akap6,1.87E-161,17.89497416,0.61,0.468,6.01E-157
Enah,1.74E-159,-3.525273935,0.387,0.214,5.60E-155
Cacna2d3,5.31E-159,13.76987021,0.356,0.206,1.71E-154
Ptk2,1.10E-158,-0.590128137,0.422,0.252,3.52E-154
Tmem178b,7.72E-158,25.30800308,0.588,0.439,2.48E-153
Prkca,8.13E-158,27.53667758,0.371,0.2,2.62E-153
Ctnnd2,1.06E-156,32.52171876,0.794,0.72,3.42E-152
2210408I21Rik,2.44E-156,9.581193464,0.346,0.18,7.86E-152
Cacna1d,5.11E-154,-4.982468257,0.47,0.307,1.64E-149
Mbd5,9.66E-154,4.771814937,0.672,0.534,3.11E-149
Dync1i2,4.55E-153,0.756233712,0.442,0.279,1.46E-148
Jazf1,7.39E-153,4.006100061,0.325,0.168,2.38E-148
Tnik,2.57E-152,19.45854168,0.611,0.463,8.26E-148
Dock7,1.13E-150,10.21725644,0.359,0.195,3.63E-146
Slc4a10,4.60E-150,-35.25735617,0.51,0.359,1.48E-145
Nsf,3.43E-149,14.24289015,0.439,0.281,1.10E-144
Galntl6,2.21E-147,315.2835807,0.353,0.203,7.10E-143
Unc79,1.67E-146,11.85988975,0.458,0.3,5.37E-142
Fmn2,4.25E-146,10.73530919,0.434,0.264,1.37E-141
Stmn2,9.23E-146,-2.070085838,0.315,0.476,2.97E-141
Nbea,1.44E-145,19.50079676,0.781,0.71,4.64E-141
Cplane1,4.22E-144,6.58229753,0.495,0.339,1.36E-139
Nktr,6.29E-143,-2.86658597,0.506,0.345,2.02E-138
Mrtfb,5.47E-142,13.75524967,0.355,0.205,1.76E-137
Reps2,5.71E-142,1.718440108,0.302,0.151,1.84E-137
Ubr3,1.02E-141,8.038830874,0.53,0.377,3.30E-137
Opcml,2.39E-141,263.3280797,0.699,0.659,7.68E-137
Magi2,5.25E-141,39.7365332,0.885,0.83,1.69E-136
Ssbp2,2.51E-140,-14.05807668,0.46,0.302,8.08E-136
Caln1,5.33E-140,16.09713292,0.542,0.707,1.71E-135
Pabpn1,4.20E-139,1.291686342,0.438,0.278,1.35E-134
Hs6st3,8.25E-138,16.65341597,0.434,0.301,2.65E-133
Sgip1,8.52E-138,17.78568693,0.611,0.469,2.74E-133
Kctd8,1.23E-137,-9.313780243,0.397,0.566,3.95E-133
Rmdn1,1.89E-137,1.295361008,0.403,0.248,6.09E-133
Pi4ka,5.20E-137,4.096609277,0.444,0.288,1.67E-132
Garnl3,5.84E-137,45.50789212,0.305,0.159,1.88E-132
Focad,3.45E-136,26.68027625,0.395,0.244,1.11E-131
Eml6,1.91E-135,1.09906363,0.399,0.242,6.15E-131
Strbp,6.74E-135,21.08665004,0.681,0.577,2.17E-130
Il1rapl1,1.08E-134,61.37695881,0.857,0.84,3.48E-130
4930402H24Rik,1.49E-134,2.86120448,0.46,0.294,4.79E-130
Ppp1r9a,4.03E-134,11.60194895,0.457,0.303,1.30E-129
Dock3,4.15E-134,20.00550533,0.664,0.556,1.33E-129
St18,3.00E-133,-12.19691329,0.274,0.448,9.66E-129
Zbtb20,1.46E-132,71.4758229,0.707,0.842,4.70E-128
Etnk1,3.17E-131,3.509861321,0.391,0.239,1.02E-126
Gucy1a2,8.15E-131,7.145092657,0.32,0.174,2.62E-126
Ror1,5.00E-130,-7.200970444,0.237,0.392,1.61E-125
Tcf20,1.01E-129,1.286224596,0.34,0.192,3.24E-125
Ogt,2.27E-128,3.193959967,0.571,0.425,7.32E-124
Dpp10,5.36E-128,-16.5285734,0.57,0.485,1.72E-123
Dpf3,2.47E-127,-6.433620922,0.248,0.403,7.93E-123
Ank2,2.48E-127,-95.31685226,0.895,0.854,7.97E-123
Trmt9b,1.62E-126,-1.05603112,0.167,0.305,5.21E-122
Mirg,5.56E-126,2.181756957,0.322,0.178,1.79E-121
Sema6d,3.34E-123,57.98571899,0.362,0.216,1.08E-118
Rabep1,6.80E-123,1.73061337,0.397,0.247,2.19E-118
Tenm1,1.33E-122,32.52323544,0.663,0.784,4.27E-118
Adgrb3,7.30E-122,68.52033729,0.897,0.888,2.35E-117
Atxn1,2.28E-121,15.82273388,0.605,0.486,7.33E-117
Usp29,2.49E-121,3.910641838,0.378,0.237,8.01E-117
Ralgapa2,4.72E-121,2.483339389,0.378,0.232,1.52E-116
Dennd1a,1.06E-120,20.30085892,0.595,0.459,3.42E-116
Zcchc7,1.58E-120,-3.303201629,0.583,0.443,5.09E-116
Samd12,2.88E-120,17.74174043,0.562,0.433,9.27E-116
Ptprg,2.55E-119,42.43581385,0.509,0.373,8.21E-115
Adcy1,1.58E-118,5.908058536,0.326,0.476,5.09E-114
Exoc6b,4.40E-118,31.82242171,0.518,0.372,1.42E-113
Vps13b,5.04E-118,3.385394149,0.565,0.432,1.62E-113
Cdr1os,6.22E-118,3.668983911,0.589,0.476,2.00E-113
Snhg14,7.75E-118,-7.872403133,0.734,0.672,2.49E-113
Ttc14,2.12E-116,4.943961161,0.505,0.364,6.81E-112
Atp2c1,2.94E-116,-0.732458539,0.357,0.216,9.46E-112
Dync2h1,7.35E-116,2.595577416,0.307,0.17,2.37E-111
Atp1a1,2.99E-115,2.40082562,0.22,0.361,9.63E-111
Chd9,2.19E-114,6.494701563,0.564,0.42,7.06E-110
Kcnn2,2.63E-114,11.79944476,0.339,0.194,8.47E-110
Gm47283,3.61E-114,9.145841216,0.419,0.272,1.16E-109
Usp3,4.14E-114,-1.706785639,0.339,0.486,1.33E-109
Eml5,6.51E-114,17.43481745,0.485,0.343,2.09E-109
Pld5,7.79E-114,1.282464792,0.315,0.47,2.51E-109
Ahcyl2,8.51E-114,9.428504357,0.38,0.235,2.74E-109
Phf20l1,1.07E-113,19.53200072,0.527,0.391,3.43E-109
Cpeb3,2.61E-113,-10.75276756,0.524,0.39,8.39E-109
Dennd4a,2.74E-113,-9.664599002,0.366,0.226,8.81E-109
Pja2,8.99E-112,-4.463446373,0.372,0.233,2.89E-107
Frmd5,1.34E-111,42.61443628,0.551,0.411,4.32E-107
Nyap2,6.39E-111,15.21069317,0.315,0.185,2.05E-106
Luc7l2,9.57E-111,3.665156092,0.722,0.613,3.08E-106
Lsamp,1.04E-110,12.32532742,0.924,0.933,3.34E-106
Atp8a2,1.08E-110,2.617971365,0.344,0.208,3.48E-106
Usp34,1.39E-110,7.025010027,0.643,0.529,4.47E-106
Camk4,2.70E-110,13.64520773,0.503,0.648,8.69E-106
Vps13a,2.90E-110,3.905614218,0.444,0.305,9.33E-106
Nf1,3.05E-110,2.721709891,0.527,0.385,9.81E-106
Immp2l,6.60E-110,5.639493413,0.366,0.218,2.12E-105
Abi2,8.08E-110,8.750327766,0.389,0.255,2.60E-105
Nol4,3.70E-109,6.032217295,0.422,0.284,1.19E-104
Tll1,4.32E-109,3.212260684,0.191,0.325,1.39E-104
Ntrk2,9.86E-109,15.28081422,0.557,0.441,3.17E-104
Ppp1r12a,1.98E-107,9.612263868,0.438,0.299,6.36E-103
Herc1,1.42E-106,15.18463742,0.642,0.532,4.58E-102
Tia1,6.35E-106,1.955445287,0.455,0.316,2.04E-101
1110051M20Rik,7.44E-105,1.342716495,0.341,0.206,2.39E-100
Zfr,9.05E-105,3.866208049,0.498,0.366,2.91E-100
Dscaml1,5.42E-104,9.575751759,0.336,0.207,1.74E-99
Atp9b,1.38E-102,2.267684525,0.353,0.221,4.45E-98
Ttc3,3.11E-102,2.131720769,0.683,0.603,1.00E-97
Ecpas,3.10E-101,2.299674869,0.519,0.388,9.96E-97
Rbm26,4.03E-101,3.347058377,0.448,0.311,1.30E-96
Meis1,4.46E-100,-1.230698336,0.219,0.353,1.44E-95
Wdr7,6.71E-100,2.131656457,0.381,0.25,2.16E-95
Nr6a1,8.99E-100,-3.016774327,0.316,0.187,2.89E-95
Npas3,1.98E-99,30.08082368,0.313,0.18,6.38E-95
Sclt1,9.98E-99,-4.706966564,0.389,0.255,3.21E-94
Ehbp1,1.44E-98,-27.27631531,0.5,0.367,4.62E-94
Dzip3,1.74E-98,2.123291476,0.366,0.236,5.59E-94
Ralgapa1,1.77E-98,-1.774512683,0.545,0.421,5.71E-94
Myo5a,1.94E-98,13.92020024,0.449,0.321,6.23E-94
Scn1a,3.32E-98,-0.68527736,0.461,0.332,1.07E-93
Farp1,4.10E-98,8.661740018,0.347,0.215,1.32E-93
Plcxd3,1.04E-97,-12.33586495,0.336,0.474,3.35E-93
Ulk2,1.29E-97,2.031035525,0.373,0.24,4.13E-93
Lin7a,1.63E-97,-5.758664285,0.406,0.536,5.23E-93
Atxn2,1.64E-97,-1.273091991,0.387,0.254,5.28E-93
Trip12,3.63E-97,3.398818587,0.451,0.32,1.17E-92
Cntnap2,5.58E-97,57.04905172,0.779,0.781,1.79E-92
Fry,6.69E-97,1.733487751,0.525,0.399,2.15E-92
Upp2,8.83E-97,3.173617687,0.396,0.265,2.84E-92
